Date,HomeTeam,AwayTeam,GoalDiff,AHh,PCAHH,Residual,Adjustment,Handicap_Pred
2025-02-16,Tottenham,Man United,1,0.0,1.94,1.0,0.3868122323563885,0.3868122323563885
2025-02-19,Aston Villa,Liverpool,0,0.5,2.03,-0.5,0.47197799735846946,0.9719779973584695
2025-02-21,Leicester,Brentford,-4,0.5,1.93,-4.5,0.3773493695783794,0.8773493695783794
2025-02-22,Everton,Man United,0,0.0,1.86,0.0,0.31110933013231645,0.31110933013231645
2025-02-22,Arsenal,West Ham,-1,-1.75,1.94,0.75,0.3868122323563885,-1.3631877676436115
2025-02-22,Bournemouth,Wolves,-1,-1.0,1.84,0.0,0.29218360457629844,-0.7078163954237016
2025-02-22,Fulham,Crystal Palace,-2,-0.5,1.81,-1.5,0.2637950162422713,-0.2362049837577287
2025-02-22,Ipswich,Tottenham,-3,0.5,1.82,-3.5,0.2732578790202804,0.7732578790202804
2025-02-22,Southampton,Brighton,-4,1.0,2.01,-5.0,0.45305227180245145,1.4530522718024514
2025-02-22,Aston Villa,Chelsea,1,0.0,1.97,1.0,0.4152008206904154,0.4152008206904154
2025-02-23,Newcastle,Nott'm Forest,1,-0.75,1.93,1.75,0.3773493695783794,-0.3726506304216206
2025-02-23,Man City,Liverpool,-2,0.25,1.98,-2.25,0.42466368346842454,0.6746636834684245
2025-02-25,Brighton,Bournemouth,1,-0.25,2.02,1.25,0.46251513458046056,0.21251513458046056
2025-02-25,Crystal Palace,Aston Villa,3,0.0,1.97,3.0,0.4152008206904154,0.4152008206904154
2025-02-25,Wolves,Fulham,-1,0.0,2.08,-1.0,0.5192923112485148,0.5192923112485148
2025-02-25,Chelsea,Southampton,4,-2.25,1.94,6.25,0.3868122323563885,-1.8631877676436115
